epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,10517.8,0.29848,0.24276,0.85078,0.99317,1,0.995,0.9515,0.25027,0.22616,0.79347,0.000401747,0.000401747,0.000401747
117,10607.4,0.27678,0.25222,0.88136,0.99333,1,0.995,0.95508,0.26315,0.22279,0.80502,0.000390745,0.000390745,0.000390745
118,10694.9,0.27969,0.24152,0.86291,0.99327,1,0.995,0.979,0.26553,0.22196,0.80328,0.000379743,0.000379743,0.000379743
119,10788.2,0.28937,0.24288,0.87002,0.9933,1,0.995,0.995,0.28327,0.20349,0.79214,0.00036874,0.00036874,0.00036874
120,10890.7,0.28228,0.23961,0.8557,0.99335,1,0.995,0.981,0.27517,0.21106,0.79307,0.000357738,0.000357738,0.000357738
121,10997,0.28902,0.2311,0.86348,1,1,0.995,0.96879,0.29504,0.22873,0.82257,0.000346736,0.000346736,0.000346736
122,11084.4,0.28924,0.25301,0.85716,0.9933,1,0.995,0.96879,0.26778,0.19713,0.82081,0.000335734,0.000335734,0.000335734
123,11171.6,0.27486,0.23249,0.83276,0.99335,1,0.995,0.96879,0.26143,0.18829,0.80329,0.000324732,0.000324732,0.000324732
124,11275.5,0.27193,0.24204,0.85754,1,1,0.995,0.96879,0.26235,0.18068,0.7998,0.000313729,0.000313729,0.000313729
125,11370.5,0.2488,0.22864,0.85698,1,1,0.995,0.95171,0.26866,0.18469,0.8067,0.000302727,0.000302727,0.000302727
126,11469.7,0.27522,0.22008,0.85048,1,1,0.995,0.95071,0.26513,0.17931,0.8113,0.000291725,0.000291725,0.000291725
127,11566,0.24974,0.21892,0.83328,1,1,0.995,0.94809,0.2972,0.20065,0.8213,0.000280723,0.000280723,0.000280723
128,11659.2,0.29469,0.24581,0.8133,1,1,0.995,0.94809,0.29939,0.21569,0.82261,0.000269721,0.000269721,0.000269721
129,11752.2,0.26852,0.23513,0.86218,0.99342,1,0.995,0.94809,0.25847,0.2088,0.8101,0.000258718,0.000258718,0.000258718
130,11840,0.29944,0.25457,0.86582,1,1,0.995,0.94809,0.25142,0.19483,0.80786,0.000247716,0.000247716,0.000247716
131,11928.4,0.24579,0.21203,0.859,1,1,0.995,0.96879,0.24125,0.17607,0.80621,0.000236714,0.000236714,0.000236714
132,12017.3,0.23369,0.22081,0.8412,1,1,0.995,0.96879,0.24437,0.16797,0.80949,0.000225712,0.000225712,0.000225712
133,12113.3,0.2611,0.21291,0.85583,1,1,0.995,0.96879,0.22591,0.17763,0.80338,0.00021471,0.00021471,0.00021471
134,12202,0.26313,0.21362,0.85136,1,1,0.995,0.97286,0.23488,0.18593,0.80113,0.000203707,0.000203707,0.000203707
